feature,importance,fold
id,11775.569289207458,1
age,21578.415680408478,1
job,10645.819282531738,1
marital,4353.160514831543,1
education,1443.9660968780518,1
default,420.28921127319336,1
balance,18422.54013299942,1
housing,20354.720616817474,1
loan,4323.4083161354065,1
contact,32412.70953130722,1
day,26677.13866853714,1
month,66139.03237581253,1
duration,172862.22615671158,1
campaign,9911.49188041687,1
pdays,19236.784982681274,1
previous,4370.891784667969,1
poutcome,26026.21764755249,1
id,11409.817519664764,2
age,19075.07381105423,2
job,9805.334030628204,2
marital,3146.88108253479,2
education,1317.771740913391,2
default,471.7749590873718,2
balance,20396.100296974182,2
housing,19006.63614177704,2
loan,3600.077856063843,2
contact,33518.83549451828,2
day,26495.12378835678,2
month,64708.57821369171,2
duration,173404.67125225067,2
campaign,10334.6887550354,2
pdays,19232.578993320465,2
previous,5308.961463928223,2
poutcome,27621.708767414093,2
id,15763.058811664581,3
age,24039.666451454163,3
job,12539.478218317032,3
marital,3882.798396587372,3
education,1552.0350503921509,3
default,361.40241169929504,3
balance,21701.31627178192,3
housing,17987.036424160004,3
loan,3087.617218017578,3
contact,39615.66006612778,3
day,32273.093371868134,3
month,64654.037256240845,3
duration,178891.40840482712,3
campaign,9049.824663639069,3
pdays,19090.073788642883,3
previous,7512.663115739822,3
poutcome,25980.56900548935,3
id,13538.965546607971,4
age,20494.447462320328,4
job,12868.986314296722,4
marital,3740.4108366966248,4
education,1554.7388019561768,4
default,240.44522190093994,4
balance,20426.676831245422,4
housing,16682.973693847656,4
loan,3909.0250673294067,4
contact,34669.18851470947,4
day,29155.916771650314,4
month,67343.01825904846,4
duration,178497.77472543716,4
campaign,8692.094581604004,4
pdays,17589.35022497177,4
previous,5966.671303272247,4
poutcome,27911.075443267822,4
id,21683.038231134415,5
age,25237.22150993347,5
job,14567.19356393814,5
marital,5255.048607110977,5
education,2728.308470726013,5
default,591.2064189910889,5
balance,25386.263301610947,5
housing,17416.568497657776,5
loan,4519.7128438949585,5
contact,30306.954576730728,5
day,39069.328032016754,5
month,72962.72284603119,5
duration,185082.23934030533,5
campaign,10312.228746891022,5
pdays,27403.929075479507,5
previous,5849.343131065369,5
poutcome,27813.68086218834,5
